"id";"annotator";"c_usmod";"c_mod1";"c_mod0";"c_refc";"c_topic";"c_amp";"c_act";"c_act_1a";"c_act_1a_mark";"c_act_1b";"c_act_1b_mark";"c_act_2a";"c_act_2a_mark";"c_act_2b";"c_act_3a";"c_act_3a_mark";"c_act_3b";"c_contr";"c_emo_1";"c_emo_1_mark";"c_emo_2a";"c_emo_2a_mark";"c_emo_2b";"c_emo_3";"c_ne_1_0";"c_ne_1_1";"c_ne_1_2";"c_ne_1_3";"c_ne_1_4";"c_ne_2_0";"c_ne_2_1";"c_ne_2_2";"c_ne_2_3";"c_ne_2_4";"c_ne_2_mark_0";"c_ne_2_mark_1";"c_ne_2_mark_2";"c_ne_2_mark_3";"c_ne_2_mark_4";"c_ne_3_0";"c_ne_3_1";"c_ne_3_2";"c_ne_3_3";"c_ne_3_4";"c_ne_4_0";"c_ne_4_1";"c_ne_4_2";"c_ne_4_3";"c_ne_4_4";"c_ne_4_mark_0";"c_ne_4_mark_1";"c_ne_4_mark_2";"c_ne_4_mark_3";"c_ne_4_mark_4";"c_ne_5_0";"c_ne_5_1";"c_ne_5_2";"c_ne_5_3";"c_ne_5_4";"c_ne_5_mark_0";"c_ne_5_mark_1";"c_ne_5_mark_2";"c_ne_5_mark_3";"c_ne_5_mark_4";"c_ne_6_0";"c_ne_6_1";"c_ne_6_2";"c_ne_6_3";"c_ne_6_4";"c_ne_7_0";"c_ne_7_1";"c_ne_7_2";"c_ne_7_3";"c_ne_7_4";"c_pe_1_0";"c_pe_1_1";"c_pe_1_2";"c_pe_1_3";"c_pe_2_0";"c_pe_2_1";"c_pe_2_2";"c_pe_2_3";"c_pe_2_mark_0";"c_pe_2_mark_1";"c_pe_2_mark_2";"c_pe_2_mark_3";"c_pe_3_0";"c_pe_3_1";"c_pe_3_2";"c_pe_3_3";"c_pe_4_0";"c_pe_4_1";"c_pe_4_2";"c_pe_4_3";"c_pe_4_mark_0";"c_pe_4_mark_1";"c_pe_4_mark_2";"c_pe_4_mark_3";"c_pe_5_0";"c_pe_5_1";"c_pe_5_2";"c_pe_5_3";"c_act_0";"c_act_1";"c_act_2";"c_act_3";"c_act_1a_0";"c_act_1a_1";"c_act_1a_2";"c_act_1a_3";"c_act_1a_mark_0";"c_act_1a_mark_1";"c_act_1a_mark_2";"c_act_1a_mark_3";"c_act_1b_0";"c_act_1b_1";"c_act_1b_2";"c_act_1b_3";"c_act_1b_mark_0";"c_act_1b_mark_1";"c_act_1b_mark_2";"c_act_1b_mark_3";"c_act_2a_0";"c_act_2a_1";"c_act_2a_2";"c_act_2a_3";"c_act_2a_mark_0";"c_act_2a_mark_1";"c_act_2a_mark_2";"c_act_2a_mark_3";"c_act_2b_0";"c_act_2b_1";"c_act_2b_2";"c_act_2b_3";"c_act_3a_0";"c_act_3a_1";"c_act_3a_2";"c_act_3a_3";"c_act_3a_mark_0";"c_act_3a_mark_1";"c_act_3a_mark_2";"c_act_3a_mark_3";"c_act_3b_0";"c_act_3b_1";"c_act_3b_2";"c_act_3b_3"
534;4;1;;4;0;2;0;"[1, 1]";"[2, 2]";"Il  est  urgent  de  revoir  ce  traité  de  mettre  en  chantier  le  2  ème  porte  avions.";;;"[99, 224]";"Il";"[2, 1]";"[223, 224]";"l'OTAN  Il  ce  traité";"[1, 1]";9;0;;;;;;1;;;;;223;;;;;"l'OTAN";;;;;1;;;;;20;;;;;"les  membres  de  l'Alliance  sont  sensés  se  ranger  du  coté  de  la  Turquie  et  faire  la  guerre  aux  Russes.  Il  est  urgent  de  revoir  ce  traité";;;;;224;;;;;"les  membres  de  l'Alliance";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2;2;;;;"Il  est  urgent  de  revoir  ce  traité  de  mettre  en  chantier  le  2  ème  porte  avions.";;;;;;;;;;;99;224;;;;"Il";;;2;1;;;223;224;;;"l'OTAN  ce  traité";"Il";;;1;1;;
535;4;1;;4;0;2;0;0;;;;;;;;;;;"[1, 5, 9]";1;"d’un  nouveau  conflit  mondial,  à  notre  porte,  oui,  juste  là…";13;"notre";2;0;1;1;;;;224;223;;;;"la  Turquie";"l’UE  l’Europe,  UE,";;;;1;2;;;;"[2, 4, 7]";"[1, 2, 20]";;;;"avance  au  Kurdistan  et  consolides  ses  positions  en  Syrie  et  vers  la  Lybie,  sous  la  menace  d’une  invasion  migratoire  sans  précédent,  étendre  l’empire  Ottoman  aux  frontières  d’autrefois.  islamiser  l’Europe,";"faire  trembler  l’UE  au  chantage  migratoire,  à  la  question  des  aides  et  des  visas,  à  la  question  de  son  adhésion,  Les  capacités  d’accueil  des  réfugiés-qui-fuient-la-guerre  étant  épuisées  en  UE,  celle-ci  ne  pourra  que  plier  aux  pires  exigences  du  calife,";;;;223;223;;;;;"l’UE  l’Europe,  UE,";;;;0;0;;;;0;0;;;;1;;;;225;;;;"du  calife,";;;;1;;;;20;;;;"fort  également  de  sa  position  au  sein  de  l’OTAN.";;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;4;1;;4;0;2;0;0;;;;;;;;;;;9;2;"allez  a-do-rer  Un  temps  fort  de  l'œthnologie.  vous";13;"vous";2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;225;;;;"Tayyip";;;;1;;;;20;;;;"consom-mer  tout  de  suite  sans  modération,  100%  sans  alcool,  riche  de  fruits  mûrs  et  d'arômes  épicés,  charpenté,  et  gouleyant.  Un  temps  fort  de  l'œthnologie.";;;;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
537;4;1;;4;0;1;0;2;;;2;"Entre  virus  fermer  les  frontières..Mais  et  invasion  deux  raisons  sérieuses  et  légitimes  de";217;"merkel";1;224;;2;1;0;;;;;;1;1;;;;5;225;;;;"Soros";"merkel";;;;1;1;;;;"[2, 30]";1;;;;"a  dit  NON  Nein  et  merkel";"le  toutou  suit";;;;225;99;;;;"merkel";;;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;;;;"Entre  virus  fermer  les  frontières..Mais  et  invasion  deux  raisons  sérieuses  et  légitimes  de";;;;217;;;;"merkel";;;;1;;;;224;;;;;;;;2;;;
538;4;1;;4;0;1;0;1;3;"Pourquoi  les  EU  ne  s’occupent  pas  du  cas  Erdogan  ?  Parce  qu’il  sert  leurs  intérêts  en  affaiblissant  l’Europe";;;224;"EU";1;223;"l’Europe";1;"[1, 5, 9]";1;"Ce  serait  rigolo  si  c’était  avéré";99;;99;1;1;1;;;;223;224;;;;"l’UE  de  Mme  Merkel";"les  EU";;;;2;1;;;;"[1, 5]";2;;;;"Les  six  suffisent  plus  !  Voilà  ce  qu’il  se  passe  quand  on  milliards  pactise  avec  le  diable  pour  se  décharger  de  ses  responsabilités  que  verse  l’UE  de  Mme  Merkel  ne";"Pourquoi  les  EU  ne  s’occupent  pas  du  cas  Erdogan  ?  Parce  qu’il  sert  leurs  intérêts  en  affaiblissant  l’Europe";;;;3;223;;;;"on";"l’UE  l’Europe";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;"Pourquoi  les  EU  ne  s’occupent  pas  du  cas  Erdogan  ?  Parce  qu’il  sert  leurs  intérêts  en  affaiblissant  l’Europe";;;;;;;;;;;;224;;;;"EU";;;;1;;;;223;;;;"l’Europe";;;;1;;;
539;4;1;;0;0;99;0;0;;;;;;;;;;;0;2;"Chouette,  les  affaires  reprennent  !";13;;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;4;1;;4;0;1;1;2;;;99;;3;"il";2;3;"il";2;"[1, 9]";0;;;;;;1;1;;;;223;224;;;;"l'Europe  l'Europe";"la  France";;;;2;1;;;;1;1;;;;;"Ce  n'est  l'Europe  !  Par  contre  c'est  peut-être  a  l'Europe  de  s'occuper  pas  du  Cas  turc  !?  aux  qu'avec  nos  super  politichinel  il  est  plus  que  souhaitable  d'étaler  trucs  de  la  vaseline  sans  modération.  de  protéger  les  frontières  de";;;;223;3;;;;"l'Europe  l'Europe";"nos";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;99;;;;;;;;3;;;;"il";;;;2;;;;3;;;;"il";;;;2;;;
541;4;1;;4;0;2;0;0;;;;;;;;;;;"[5, 9]";0;;;;;;1;1;1;;;225;10;1;;;"Erdogan";"L'offensive  turque  en  Syrie";"des  ""réfugiés""  syriens";;;1;1;2;;;"[2, 20]";1;2;;;"commence  à  perdre  pied";"est  un  désastre";"habituel.  On  ne  voit  pas  pourquoi  des  ""réfugiés""  syriens  quitteraient  leur  pays,  sauf  s'il  s'agit  des  djihadistes  qui  étaient  regroupés  dans  la  zone  d'Idleb...  et  se  livre  au  chantage";;;225;224;3;;;"Erdogan";"turque";"On";;;0;0;0;;;0;0;0;;;1;;;;225;;;;"Assad";;;;1;;;;1;;;;"reprend  peu  à  peu  son  territoire.";;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
542;4;1;;4;0;1;0;"[1, 1]";"[5, 3]";"Après  l'épuration  à  la  Toukatchevsky  de  l'armée  de  Empêcher  la  Sublime  Porte  Erdogan  de  nuire  !";;;"[99, 99]";;"[2, 2]";"[10, 225]";"l'armée  de  la  Sublime  Porte  Erdogan";"[2, 1]";99;1;"Empêcher  Erdogan  de  nuire  !";225;"Erdogan";1;0;1;;;;;225;;;;;"Erdogan";;;;;1;;;;;"[6, 20]";;;;;"qui  se  prend  pour  un  sultan,  de  nuire";;;;;99;;;;;;;;;;0;;;;;0;;;;;1;;;;10;;;;"les  forces  turques,";;;;2;;;;4;;;;"pourtant  réputées  pour  le  courage  de  leurs  soldats,";;;;0;;;;1;1;;;5;3;;;"Après  l'épuration  à  la  Toukatchevsky  de  l'armée  de  la  Sublime  Porte";"Empêcher  Erdogan  de  nuire  !";;;;;;;;;;;99;99;;;;;;;2;2;;;10;225;;;"l'armée  de  la  Sublime  Porte";"Erdogan";;;2;1;;
543;4;1;;4;0;1;0;0;;;;;;;;;;;"[1, 9]";1;"Erdogan  nous  tient  par  les  c...";13;"nous";2;0;1;;;;;223;;;;;"nos  dirigeants  européens,";;;;;2;;;;;"[1, 3]";;;;;"La  naïveté  Qui  pouvait  l'incompétence  croire  que  cela  ne  se  terminerait  pas  ainsi  ?";;;;;3;;;;;"nous  nos";;;;;0;;;;;0;;;;;2;;;;223;;;;"Bruxelles  et  consorts.";;;;2;;;;1;;;;"que  les  Turcs  gardent  les  réfugiés  syriens  contre  de  l'argent,  en  acceptant";;;;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
545;4;1;;4;0;1;0;2;;;3;"Il  faudra  avoir  le  courage  de  faire  le  tri,  accepter  certains  et  retour  au  bled  pour  d'autre,";99;"Il";2;1;"certains  d'autre,";2;"[5, 9]";0;;;;;;1;2;;;;6;2;;;;"les  musulmans";"Il";;;;2;2;;;;20;1;;;;"sont  rejetés  de  toute  part,";"Il  faudra  avoir  le  courage  de  faire  le  tri,  accepter  certains  et  retour  au  bled  pour  d'autre,";;;;6;0;;;;"les  musulmans";;;;;0;0;;;;0;0;;;;1;1;;;6;111;;;"de  personnes  de  religion  chrétienne,";"Italiens,  Espagnols,  Portugais  Polonais,";;;2;2;;;1;1;;;;"n'ont  pas  posé  de  problèmes  et  ont  réussi  à  s'adapter  en  moins  d'une  génération.";;;0;0;;;2;;;;;;;;;;;;3;;;;"Il  faudra  avoir  le  courage  de  faire  le  tri,  accepter  certains  et  retour  au  bled  pour  d'autre,";;;;99;;;;"Il";;;;2;;;;1;;;;"certains  d'autre,";;;;2;;;
546;4;1;;1;0;11;0;2;;;1;"A  quand  le  ministre  que  nous  attendons!";216;"Monsieur  Messiha!";1;216;"Monsieur  Messiha!";1;0;2;"Merci  encore  pour  analyser  la  situation  c’est  triste  à  pleurer  Vous  avez  tellement  des  mots  justes";216;"Monsieur  Messiha!";1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;216;;;;"Monsieur  Messiha!";;;;1;;;;"[1, 3, 20]";;;;"pour  analyser  la  situation  de  la  France,  c’est  triste  à  pleurer  !  A  quand  le  ministre  que  nous  attendons!  Vous  avez  tellement  des  mots  justes";;;;0;;;;2;;;;;;;;;;;;1;;;;"A  quand  le  ministre  que  nous  attendons!";;;;216;;;;"Monsieur  Messiha!";;;;1;;;;216;;;;"Monsieur  Messiha!";;;;1;;;
547;4;1;;1;0;4;0;"[2, 1]";1;"Je  vous  écoute…";2;"""Et  surtout,  devra  en  être  banni  le  non-sens  pseudo  humaniste  qui  nous  éreinte.""";"[99, 13]";"devra  Je";"[2, 1]";"[3, 216]";"nous  Monsieur  Messiha.  vous";"[2, 1]";99;2;"Oui  !  Merci…  Je  vous  écoute…";216;"Monsieur  Messiha.";1;0;1;1;;;;6;12;;;;"les  musulmans";"la  cohabitions  chrétienne/musulmane";;;;2;2;;;;20;1;;;;"ne  s'entendent  avec  personne";"ne  marche  pas";;;;99;6;;;;"personne";"chrétienne/musulmane";;;;0;0;;;;0;0;;;;1;;;;216;;;;"Monsieur  Messiha.";;;;1;;;;1;;;;"Oui  !  Tout  à  fait  OK  avec  vous,";;;;0;;;;2;1;;;1;;;;"Je  vous  écoute…";;;;2;;;;"""Et  surtout,  devra  en  être  banni  le  non-sens  pseudo  humaniste  qui  nous  éreinte.""";;;;99;13;;;"devra";"Je";;;2;1;;;3;216;;;"nous";"Monsieur  Messiha.  vous";;;2;1;;
548;4;1;;1;0;11;1;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;216;;;;"M.  Jean  Messiha,";;;;1;;;;"[1, 4]";;;;"Merci  pur  ce  que  vous  etes  et  ce  que  vous  écrivez.  VOUS  etes  une  chance  pour  la  France.";;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
549;4;1;;1;0;11;0;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4;;;;"Bon  article.";;;;1;;;;1;;;;"Bon";;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550;4;1;;1;0;11;0;0;;;;;;;;;;;7;2;"100%  en  accord  avec  vous";216;"M.  Messiha.";1;0;2;;;;;2;;;;;"des  hommes  politiques";;;;;2;;;;;2;;;;;"bien  au  delà  de  leurs  intérêts  personnels.";;;;;3;;;;;;;;;;0;;;;;0;;;;;1;;;;216;;;;"M.  Messiha.";;;;1;;;;"[1, 4]";;;;"100%  en  qu'il  existe  encore  des  hommes  politiques  qui  préfèrent  accord  penser  et  prévoir  pour  leur  pays,  bien  au  delà  de  avec  leurs  intérêts  personnels.  vous";;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
552;4;1;;4;0;2;0;2;;;4;"utiliser  les  grenades  et  lance  à  eau  nous  n'osons  pas  utiliser  les  mêmes  moyens  contre  les  voyous  qui  narguent  le  pays";8;"notre  milice";2;99;"les  voyous";2;99;0;;;;;;2;;;;;8;;;;;"notre  milice";;;;;2;;;;;"[1, 4]";;;;;"à  utiliser  les  grenades  et  lance  à  eau  contre  les  retraites,  plus  tard  contre  les  pompiers  puis  sur  le  personnel  hospitalier.  nous  n'osons  pas  utiliser  les  mêmes  moyens  contre  les  voyous  qui  narguent  le  pays  n'a  pas  hésitée";;;;;5;;;;;"des  les  pompiers  le  gilets  personnel  hospitalier.  jaunes,";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;4;;;;"utiliser  les  grenades  et  lance  à  eau  nous  n'osons  pas  utiliser  les  mêmes  moyens  contre  les  voyous  qui  narguent  le  pays";;;;8;;;;"notre  milice";;;;2;;;;99;;;;"les  voyous";;;;2;;;
553;4;1;;4;0;2;0;0;;;;;;;;;;;"[4, 99]";0;;;;;;2;2;1;;;8;223;6;;;;"On";"ces  sauvages";;;2;2;2;;;4;5;20;;;"Des  camions  calmer  les  ardeurs  à  eau  pour  éteindre  les  incendies  ...  et";"On  ne  se  gêne  pas  avec  les  gilets  jaunes  !  Et  supprimer  les  aides  financières  et  allocations";"ne  va  pas  pacifier  ces  sauvages";;;5;5;3;;;;"On  les  gilets  jaunes";;;;1;0;0;;;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;4;1;;4;0;1;0;"[1, 1, 1]";"[3, 3, 3]";"On  appelle  on  les  l'armée.  envoie  construire  un  bagne  au  milieu  de  la  forêt,  en  On  Guyane,  et  on  les  y  oublie.  renvoie  les  binationaux  dans  leur  pays.";;;"[99, 223, 99]";"On  on  On";"[2, 2, 2]";"[1, 10, 12]";"les  français  (puisque  hélas  ils  le  sont)  l'armée.  les  binationaux";"[2, 2, 2]";5;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;3;3;3;;;;"On  appelle  on  les  l'armée.  envoie  construire  un  bagne  au  milieu  de  la  forêt,  en  On  Guyane,  et  on  les  y  oublie.  renvoie  les  binationaux  dans  leur  pays.";;;;;;;;;;99;223;99;;;"On";"on  On";;2;2;2;;1;10;12;;"les  binationaux";"l'armée.";"les  français  (puisque  hélas  ils  le  sont)";;2;2;2;
555;4;1;;0;2;1;0;1;2;"Revevez  sur  terre.";;;13;"Revevez";2;13;"Revevez";2;99;0;;;;;;1;;;;;13;;;;;"Vous  tous  Vous  Revevez  vous";;;;;2;;;;;"[3, 30]";;;;;"Vous  répétez  tous  Vous  savez  bien  qu'il  n'y  aura  de  ""grands  procès""  à  Revevez  sur  terre.  l'envi  le  même  refrain";;;;;0;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;"Revevez  sur  terre.";;;;;;;;;;;;13;;;;"Revevez";;;;2;;;;13;;;;"Revevez";;;;2;;;
556;4;1;;0;1;99;0;0;;;;;;;;;;;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;4;1;;4;0;2;1;1;2;"Les  urnes  seront  là  pour  sanctionner  cette  faute  impardonnable.";;;3;"Les  urnes";2;217;"le  Président  des  Français";1;1;1;"Honte  sur  lui  !!";217;"le  Président  des  Français  lui";1;0;1;1;;;;224;217;;;;"ce  pays";"le  Président  des  Français  lui";;;;2;1;;;;4;"[1, 3]";;;;;"on  de  sécurité,  anarchique,on  n'est  pas  digne  d'être  le  Président  des  laisse  Français  ce  pays  dans  une  telle  dérive  d'instabilité,manque";;;;3;3;;;;;"on  des  Français";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;"Les  urnes  seront  là  pour  sanctionner  cette  faute  impardonnable.";;;;;;;;;;;;3;;;;"Les  urnes";;;;2;;;;217;;;;"le  Président  des  Français";;;;1;;;
558;4;1;;4;0;2;0;2;;;4;"la  guerre  civile.Ils  vont  l'avoir";217;"civile.Ils";2;3;"Nos";2;1;0;;;;;;1;;;;;217;;;;;"Nos  gouvernants";;;;;2;;;;;1;;;;;"qu'ils  n'ont  aucun  courage.Comme  qui  ne  gouvernent  plus  grand  chose";;;;;3;;;;;"Nos";;;;;0;;;;;0;;;;;1;;;;225;;;;"Churchill:vous";;;;1;;;;1;;;;"le  grand";;;;0;;;;2;;;;;;;;;;;;4;;;;"la  guerre  civile.Ils  vont  l'avoir";;;;217;;;;"civile.Ils";;;;2;;;;3;;;;"Nos";;;;2;;;
559;4;1;;4;0;2;0;"[1, 1, 1]";"[3, 4, 3]";"Envoyez  les  gendarmes  avec  de  bons  gourdins  et  plus  s'il  le  faut,  cassez  leur  la  gueule  une  bonne  fois  pour  toute  ne  pas  s'occuper  de  ces  crétins  de  gauche  soit  disant  bien  pensante";;;"[223, 8, 223]";"Envoyez  les  gendarmes";"[2, 2, 2]";"[12, 12, 219]";"quelques  centaines  de  racailles  ces  crétins  de  gauche  soit  disant  bien  pensante";"[2, 2, 2]";"[1, 3]";1;"Y  en  a  marre  de  ces  histoires.";99;"Y";2;0;1;2;1;;;12;223;219;;;"quelques  centaines  de  racailles";"Envoyez";"ces  crétins  de  gauche  soit  disant  bien  pensante";;;2;2;2;;;4;1;"[1, 2]";;;"qui  mettent  le  feu!";;"Envoyez  les  gendarmes  avec  de  bons  gourdins  et  cassez  leur  la  gueule  une  bonne  fois  pour  toute  soit  disant  bien  pensante  qui  n'est  qu'une  gauche  de  trouillards  délétères!";;;3;3;0;;;;"Y";;;;0;0;0;;;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;3;4;3;;;"cassez  leur  la  gueule  une  bonne  fois  pour  toute";"Envoyez  les  gendarmes  avec  de  bons  gourdins  et  plus  s'il  le  faut,  ne  pas  s'occuper  de  ces  crétins  de  gauche  soit  disant  bien  pensante";;;;;;;;;;223;8;223;;;"les  gendarmes";"Envoyez";;2;2;2;;12;12;219;;;"quelques  centaines  de  racailles";"ces  crétins  de  gauche  soit  disant  bien  pensante";;2;2;2;
560;4;1;;0;0;1;0;1;3;"d'iles  à  travers  le  monde,  donc  des  solutions  immédiates  pour  calmer  le  jeu,  il  y  en  a.  mais  la  France  possède  des  dizaines";;;223;"la  France";2;99;"pour  calmer  le  jeu,";2;1;0;;;;;;2;;;;;223;;;;;"d'autorité!";;;;;2;;;;;1;;;;;"Juste  une  décision  d'autorité!";;;;;224;;;;;"la  France";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;"d'iles  à  travers  le  monde,  donc  des  solutions  immédiates  pour  calmer  le  jeu,  il  y  en  a.  mais  la  France  possède  des  dizaines";;;;;;;;;;;;223;;;;"la  France";;;;2;;;;99;;;;"pour  calmer  le  jeu,";;;;2;;;
561;4;1;;0;1;1;0;2;;;3;"non  peuplée,  quelques  tentes  militaires,  de  l'eau,  du  pain,  des  légumes,  pas  de  salle  de  musculation,  du  terrain  pour  jardiner  si  on  veut  un  complément  de  nourriture!  Une  île";223;;2;12;"on";2;"[1, 99]";0;;;;;;1;1;;;;224;12;;;;"un  pays  civilisé  comme  le  nôtre,";"quelques  centaines  d'individus";;;;2;2;;;;1;4;;;;"Il  est  inadmissible  que  on  laisse  quelques  centaines  d'individus";"tout  détruire  en  terrorisant  des  milliers  de  personnes!";;;;3;3;;;;;"le  nôtre,  des  milliers  de  personnes!";;;;0;0;;;;0;0;;;;1;;;;13;;;;"Vo";;;;1;;;;30;;;;"ilà  une  excellente  suggestions!";;;;0;;;;2;;;;;;;;;;;;3;;;;"non  peuplée,  quelques  tentes  militaires,  de  l'eau,  du  pain,  des  légumes,  pas  de  salle  de  musculation,  du  terrain  pour  jardiner  si  on  veut  un  complément  de  nourriture!  Une  île";;;;223;;;;;;;;2;;;;12;;;;"on";;;;2;;;
562;4;1;;0;2;99;0;1;2;"Arrêtez  de  rêver.";;;13;"Arrêtez";1;13;"Arrêtez";1;0;1;"Arrêtez  de  rêver.";13;"Arrêtez";1;0;1;;;;;13;;;;;"Arrêtez";;;;;1;;;;;3;;;;;"Arrêtez  de  rêver.";;;;;0;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;"Arrêtez  de  rêver.";;;;;;;;;;;;13;;;;"Arrêtez";;;;1;;;;13;;;;"Arrêtez";;;;1;;;
563;4;1;;0;0;2;0;0;;;;;;;;;;;7;0;;;;;;1;1;;;;2;224;;;;"nos  politiques";"l'Algérie";;;;2;1;;;;3;20;;;;"je  ne  suis  pas  sure  que  nos  politiques  y  aient  pensé.";"une  bombe  à  notre  frontière  sud";;;;3;3;;;;;"je  notre  frontière";;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;4;1;;4;0;4;0;"[1, 1]";"[2, 3]";"Supprimons  ""la  cette  loi  du  sol""  renvoyons  dans  leur  pays";;;"[223, 223]";"Supprimons  renvoyons";"[2, 2]";"[99, 99]";"cette  vermine";"[2, 2]";99;0;;;;;;1;;;;;99;;;;;"cette  vermine";;;;;2;;;;;4;;;;;"qui  pollue  le  territoire  français  et  fait  régner  leur  loi  dans  les  cités.";;;;;224;;;;;"le  territoire  français";;;;;0;;;;;0;;;;;1;;;;99;;;;"de  bons  ""blacks"",";;;;2;;;;1;;;;"bons";;;;0;;;;1;1;;;2;3;;;"Supprimons  ""la  loi  du  sol""";"cette  renvoyons  dans  leur  pays";;;;;;;;;;;223;223;;;;"Supprimons  renvoyons";;;2;2;;;99;99;;;;"cette  vermine";;;2;2;;
565;4;1;;4;0;4;0;2;;;2;"il  ne  faut  pas  le  dire  because  amalgame  et  racisme.";99;"il";2;13;"il";2;"[1, 5]";99;;13;"il";2;0;1;1;1;;;1;2;6;;;"""Immigration  subsaharienne"";  ces  abrutis.  des  blacks.";"ceux  qui  nous  gouvernent.";"Le  ramadan";;;2;2;1;;;4;3;4;;;;"dans  le  silence  glaçant  de  ceux  qui  nous  gouvernent.";"ne  va  pas  arranger  les  choses,  au  contraire,  ça  excite  ces  abrutis.  caillasser  et  tirer  dessus";;;8;8;8;;;;;"la  police";;;0;0;0;;;0;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;;;;"il  ne  faut  pas  le  dire  because  amalgame  et  racisme.";;;;99;;;;"il";;;;2;;;;13;;;;"il";;;;2;;;
566;4;1;;0;0;2;0;1;2;"l'armée  au  pouvoir  !";;;10;"l'armée";2;10;"l'armée";2;0;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;"l'armée  au  pouvoir  !";;;;;;;;;;;;10;;;;"l'armée";;;;2;;;;10;;;;"l'armée";;;;2;;;
